id,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Machine failure
108143,L51820,L,303.3,311.2,1619,31.1,219,0,0,0,0,0,0
124027,L56933,L,298.5,309.8,1663,36.1,203,0,0,0,0,0,0
40415,M16054,M,297.0,308.1,1548,38.2,0,0,0,0,0,0,0
5055,L48448,L,298.0,309.5,1599,35.7,51,0,0,0,0,0,0
75315,L47982,L,296.9,307.8,1567,35.0,121,0,0,0,0,0,0
129023,L54803,L,300.6,311.4,1446,40.3,75,0,0,0,0,0,0
3698,L55458,L,298.8,310.5,1544,46.4,207,0,0,0,0,0,0
11129,L54189,L,300.5,310.5,1536,40.2,12,0,0,0,0,0,0
131286,M15520,M,297.6,309.3,1474,46.2,24,0,0,0,0,0,0
11521,L48897,L,298.2,307.6,1369,50.7,82,0,0,0,0,0,0
123964,M19283,M,302.6,310.2,1563,36.1,97,0,0,0,0,0,0
95238,M22390,M,300.1,311.4,1364,51.1,47,0,0,0,0,0,0
93183,L53463,L,301.0,310.8,1425,45.4,62,0,0,0,0,0,0
40249,L48066,L,295.7,306.2,1408,45.8,60,0,0,0,0,0,0
75904,L50195,L,300.4,309.7,1542,36.6,139,0,0,0,0,0,0
120144,L52010,L,303.4,311.9,1389,49.1,104,0,0,0,0,0,0
50032,L56255,L,297.3,308.1,1474,36.0,150,0,0,0,0,0,0
87046,L48632,L,299.0,310.3,1438,44.4,83,0,0,0,0,0,0
42000,L54172,L,300.7,311.1,1596,34.6,142,0,0,0,0,0,0
10192,M15664,M,296.9,307.8,1286,55.0,105,0,0,0,0,0,0
20956,M21690,M,300.9,310.9,1469,53.4,161,0,0,0,0,0,0
7310,M24403,M,299.5,310.8,1566,31.3,109,0,0,0,0,0,0
12640,L56410,L,298.1,309.0,1542,36.2,50,0,0,0,0,0,0
115768,L52582,L,302.7,312.3,1433,49.5,0,0,0,0,0,0,0
9245,L47575,L,297.4,308.4,1526,37.6,18,0,0,0,0,0,0
16399,M20478,M,303.1,312.4,1630,29.6,129,0,0,0,0,0,0
35507,M24400,M,299.4,310.8,1638,35.5,111,0,0,0,0,0,0
83646,L48956,L,298.5,308.1,1606,33.3,34,0,0,0,0,0,0
45884,L56060,L,298.0,309.1,1452,44.2,87,0,0,0,0,0,0
78174,H37236,H,299.9,311.3,1413,41.7,166,0,0,0,0,0,0
13954,L56580,L,297.7,308.2,1602,34.8,172,0,0,0,0,0,0
133824,L54700,L,300.3,311.3,1529,36.9,112,0,0,0,0,0,0
96522,H36945,H,300.2,311.4,1547,39.8,50,0,0,0,0,0,0
78245,L53197,L,300.7,310.6,1593,38.2,50,0,0,0,0,0,0
51844,L56114,L,297.4,308.2,1601,35.7,192,0,0,0,0,0,0
58941,L54215,L,300.6,310.6,1658,30.7,7,0,0,0,0,0,0
