id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],failure_probability,risk_level
108143,303.3,311.2,1619,31.1,219,0.00338478124454074,Low
124027,298.5,309.8,1663,36.1,203,0.00338478124454074,Low
40415,297.0,308.1,1548,38.2,0,0.00338478124454074,Low
5055,298.0,309.5,1599,35.7,51,0.00338478124454074,Low
75315,296.9,307.8,1567,35.0,121,0.00338478124454074,Low
129023,300.6,311.4,1446,40.3,75,0.00338478124454074,Low
3698,298.8,310.5,1544,46.4,207,0.00338478124454074,Low
11129,300.5,310.5,1536,40.2,12,0.00338478124454074,Low
131286,297.6,309.3,1474,46.2,24,0.00338478124454074,Low
11521,298.2,307.6,1369,50.7,82,0.00338478124454074,Low
123964,302.6,310.2,1563,36.1,97,0.00338478124454074,Low
95238,300.1,311.4,1364,51.1,47,0.00338478124454074,Low
93183,301.0,310.8,1425,45.4,62,0.00338478124454074,Low
40249,295.7,306.2,1408,45.8,60,0.00338478124454074,Low
75904,300.4,309.7,1542,36.6,139,0.00338478124454074,Low
120144,303.4,311.9,1389,49.1,104,0.00338478124454074,Low
50032,297.3,308.1,1474,36.0,150,0.00338478124454074,Low
87046,299.0,310.3,1438,44.4,83,0.00338478124454074,Low
42000,300.7,311.1,1596,34.6,142,0.00338478124454074,Low
10192,296.9,307.8,1286,55.0,105,0.00338478124454074,Low
20956,300.9,310.9,1469,53.4,161,0.00338478124454074,Low
7310,299.5,310.8,1566,31.3,109,0.00338478124454074,Low
12640,298.1,309.0,1542,36.2,50,0.00338478124454074,Low
115768,302.7,312.3,1433,49.5,0,0.00338478124454074,Low
9245,297.4,308.4,1526,37.6,18,0.00338478124454074,Low
16399,303.1,312.4,1630,29.6,129,0.00338478124454074,Low
35507,299.4,310.8,1638,35.5,111,0.00338478124454074,Low
83646,298.5,308.1,1606,33.3,34,0.00338478124454074,Low
45884,298.0,309.1,1452,44.2,87,0.00338478124454074,Low
78174,299.9,311.3,1413,41.7,166,0.00338478124454074,Low
13954,297.7,308.2,1602,34.8,172,0.00338478124454074,Low
133824,300.3,311.3,1529,36.9,112,0.00338478124454074,Low
96522,300.2,311.4,1547,39.8,50,0.00338478124454074,Low
78245,300.7,310.6,1593,38.2,50,0.00338478124454074,Low
51844,297.4,308.2,1601,35.7,192,0.00338478124454074,Low
58941,300.6,310.6,1658,30.7,7,0.00338478124454074,Low
18670,297.5,308.7,1455,44.0,110,0.00338478124454074,Low
91967,300.0,309.2,1452,22.6,120,0.00338478124454074,Low
599,300.3,311.7,1528,41.5,193,0.00338478124454074,Low
46787,300.4,309.3,1413,50.3,94,0.00338478124454074,Low
117016,301.3,310.0,1477,31.4,0,0.00338478124454074,Low
116605,296.8,307.9,1543,38.4,7,0.00338478124454074,Low
122540,300.8,310.3,1611,34.9,170,0.00338478124454074,Low
96569,300.5,311.6,1544,38.0,123,0.00338478124454074,Low
114464,297.3,308.7,1413,48.8,130,0.00338478124454074,Low
62090,297.0,308.2,1491,37.1,122,0.00338478124454074,Low
91247,300.7,310.7,1632,30.6,64,0.00338478124454074,Low
124329,301.3,311.1,1551,34.8,104,0.00338478124454074,Low
31527,297.0,307.6,1680,35.8,74,0.00338478124454074,Low
86455,300.5,311.6,1541,47.8,57,0.00338478124454074,Low
78555,298.4,308.5,1398,47.1,15,0.00338478124454074,Low
86954,298.3,309.0,1708,28.1,0,0.00338478124454074,Low
80398,301.4,311.2,1541,40.0,58,0.00338478124454074,Low
8635,303.2,311.4,1465,42.4,0,0.00338478124454074,Low
49110,299.1,308.8,1634,33.5,98,0.00338478124454074,Low
44621,297.1,308.3,1474,42.4,127,0.00338478124454074,Low
128294,301.3,311.0,1470,42.7,84,0.00338478124454074,Low
71985,303.8,312.7,1408,47.0,181,0.00338478124454074,Low
31786,299.7,310.4,1380,49.3,99,0.00338478124454074,Low
130856,300.4,311.5,1609,31.7,131,0.00338478124454074,Low
29270,298.7,309.7,1601,35.7,92,0.00338478124454074,Low
85469,297.5,309.1,1720,30.4,22,0.00338478124454074,Low
128699,298.0,308.9,1406,28.7,76,0.00338478124454074,Low
42503,297.5,308.5,1446,50.7,49,0.00338478124454074,Low
21558,300.4,311.4,1496,47.3,142,0.00338478124454074,Low
34040,300.9,310.8,1536,40.0,162,0.00338478124454074,Low
46397,302.9,311.1,1438,49.1,186,0.00338478124454074,Low
96498,299.1,308.3,1693,31.6,65,0.00338478124454074,Low
75824,300.7,311.9,1448,43.4,25,0.00338478124454074,Low
127700,298.1,307.7,1844,23.6,148,0.00338478124454074,Low
33886,300.9,311.0,1555,36.7,28,0.00338478124454074,Low
129457,300.0,309.3,1371,50.6,120,0.00338478124454074,Low
101181,297.7,309.8,1450,45.9,31,0.00338478124454074,Low
71537,302.2,311.5,1434,39.3,19,0.00338478124454074,Low
98940,301.5,310.7,1408,47.3,77,0.00338478124454074,Low
128940,300.3,309.3,1325,51.5,162,0.00338478124454074,Low
126466,302.2,311.9,1657,31.7,147,0.00338478124454074,Low
54483,300.5,310.1,1774,25.9,152,0.00338478124454074,Low
127249,298.8,310.1,1455,41.5,117,0.00338478124454074,Low
119644,298.6,309.6,1423,48.7,67,0.00338478124454074,Low
69037,304.1,313.4,1892,22.6,63,0.00338478124454074,Low
93934,299.1,309.4,1432,42.9,70,0.00338478124454074,Low
47057,297.3,308.5,1526,36.6,90,0.00338478124454074,Low
9938,304.1,313.6,1612,35.2,136,0.00338478124454074,Low
81041,300.1,310.1,1530,40.1,146,0.00338478124454074,Low
80693,299.2,308.5,1587,34.3,98,0.00338478124454074,Low
75327,299.2,310.5,1488,40.9,74,0.00338478124454074,Low
26769,301.0,310.8,1400,47.1,20,0.00338478124454074,Low
37006,300.6,309.6,1726,30.0,162,0.00338478124454074,Low
81140,296.9,307.8,1610,37.4,100,0.00338478124454074,Low
95097,300.6,310.1,1337,45.8,15,0.00338478124454074,Low
92858,297.4,308.3,1483,39.9,23,0.00338478124454074,Low
76453,297.5,308.5,1517,36.9,181,0.00338478124454074,Low
46258,302.5,310.5,1591,37.3,15,0.00338478124454074,Low
135981,297.8,307.5,1372,54.1,168,0.00338478124454074,Low
46199,300.8,310.9,1478,37.1,51,0.00338478124454074,Low
13435,302.5,311.9,1524,34.8,86,0.00338478124454074,Low
82539,301.8,310.5,1887,22.4,204,0.00338478124454074,Low
4535,299.0,309.1,1642,28.3,59,0.00338478124454074,Low
10933,296.8,307.9,1494,37.2,148,0.00338478124454074,Low
5809,296.8,307.5,1470,35.0,132,0.00338478124454074,Low
3240,303.4,311.8,1736,32.4,187,0.00338478124454074,Low
29562,302.7,311.1,1841,21.6,2,0.00338478124454074,Low
68034,297.8,308.4,1498,47.3,166,0.00338478124454074,Low
128137,302.3,310.8,1749,25.4,5,0.00338478124454074,Low
81904,299.6,309.1,1612,35.8,177,0.00338478124454074,Low
105385,298.7,308.4,1544,51.0,159,0.00338478124454074,Low
92197,298.5,309.4,1433,43.1,101,0.00338478124454074,Low
34457,298.5,308.7,1476,43.6,164,0.00338478124454074,Low
127556,302.9,312.2,1492,42.0,218,0.00338478124454074,Low
125004,299.2,308.3,1368,55.5,0,0.00338478124454074,Low
89354,302.0,310.5,1495,39.2,177,0.00338478124454074,Low
27658,301.3,310.9,1501,53.3,49,0.00338478124454074,Low
515,298.9,309.6,1707,31.6,195,0.00338478124454074,Low
597,298.1,308.1,1442,42.8,63,0.00338478124454074,Low
129018,300.2,309.7,1412,55.0,102,0.00338478124454074,Low
99632,300.4,311.4,1313,56.8,162,0.00338478124454074,Low
8383,299.3,309.0,1629,31.3,156,0.00338478124454074,Low
121317,299.3,308.5,1422,46.9,68,0.00338478124454074,Low
82367,298.6,309.7,1671,30.3,124,0.00338478124454074,Low
58725,300.6,311.3,1473,31.5,69,0.00338478124454074,Low
110420,301.1,310.1,1408,40.4,40,0.00338478124454074,Low
42582,299.5,310.0,1412,49.2,51,0.00338478124454074,Low
28558,300.2,311.6,1465,37.6,197,0.00338478124454074,Low
110228,303.5,311.6,1567,33.8,148,0.00338478124454074,Low
134537,299.8,309.4,1565,36.4,171,0.00338478124454074,Low
82274,300.7,310.8,1475,42.0,150,0.00338478124454074,Low
50465,299.5,309.2,1393,47.9,20,0.00338478124454074,Low
114166,300.0,309.6,1498,44.8,39,0.00338478124454074,Low
90926,297.4,308.4,1402,49.7,65,0.00338478124454074,Low
88527,297.4,308.4,1420,45.9,204,0.00338478124454074,Low
84251,301.0,310.5,1393,50.3,175,0.00338478124454074,Low
83257,302.6,312.4,1455,44.0,76,0.00338478124454074,Low
10959,299.8,309.7,1477,42.2,94,0.00338478124454074,Low
121533,301.4,310.6,1387,46.1,110,0.00338478124454074,Low
69002,300.7,311.1,1288,52.4,160,0.00338478124454074,Low
51719,302.0,310.9,1551,38.6,2,0.00338478124454074,Low
85044,296.5,307.6,1496,38.3,35,0.00338478124454074,Low
66844,303.7,313.0,1811,24.3,119,0.00338478124454074,Low
48798,297.2,308.5,1582,37.9,204,0.00338478124454074,Low
94788,300.6,310.1,1485,47.3,17,0.00338478124454074,Low
105307,302.3,311.2,1455,43.7,71,0.00338478124454074,Low
9060,297.6,308.6,1569,34.3,13,0.00338478124454074,Low
63232,300.4,309.9,1415,31.8,173,0.00338478124454074,Low
68475,299.7,309.5,1619,31.8,142,0.00338478124454074,Low
101335,297.7,308.5,1553,38.5,86,0.00338478124454074,Low
96373,298.9,308.5,1474,52.6,126,0.00338478124454074,Low
102958,301.4,310.7,1567,36.4,204,0.00338478124454074,Low
31239,300.5,310.7,1547,36.8,105,0.00338478124454074,Low
19841,300.7,310.5,1843,27.1,192,0.00338478124454074,Low
122738,301.7,310.2,1686,36.0,59,0.00338478124454074,Low
89438,301.7,310.9,1466,35.7,65,0.00338478124454074,Low
104684,297.9,308.9,1393,40.6,126,0.00338478124454074,Low
82593,302.2,311.3,1430,45.1,17,0.00338478124454074,Low
85102,297.3,308.1,1542,35.9,194,0.00338478124454074,Low
109483,300.8,311.7,1454,42.2,157,0.00338478124454074,Low
96837,299.7,310.8,1346,57.4,171,0.00338478124454074,Low
135547,298.2,309.0,1471,49.4,139,0.00338478124454074,Low
127032,301.7,310.7,1457,56.9,62,0.00338478124454074,Low
69835,297.9,309.0,1723,26.8,0,0.00338478124454074,Low
85247,300.5,311.7,1530,35.5,131,0.00338478124454074,Low
90311,297.5,308.6,1520,28.9,0,0.00338478124454074,Low
105114,302.5,311.5,1730,29.7,64,0.00338478124454074,Low
39740,300.2,309.6,1771,22.6,39,0.00338478124454074,Low
76378,300.0,309.0,1403,45.7,9,0.00338478124454074,Low
60181,296.3,307.4,1541,39.9,51,0.00338478124454074,Low
